id,"question",level,"created_at","updated_at"
1,"и",1,NULL,NULL
2,"в",1,NULL,NULL
3,"не",1,NULL,NULL
4,"он",1,NULL,NULL
5,"на",1,NULL,NULL
6,"я",1,NULL,NULL
7,"что",1,NULL,NULL
8,"тот",1,NULL,NULL
9,"быть",1,NULL,NULL
10,"с",1,NULL,NULL
11,"а",1,NULL,NULL
12,"весь",1,NULL,NULL
13,"это",1,NULL,NULL
14,"как",1,NULL,NULL
15,"она",1,NULL,NULL
16,"по",1,NULL,NULL
17,"но",1,NULL,NULL
18,"они",1,NULL,NULL
19,"к",1,NULL,NULL
20,"у",1,NULL,NULL
21,"ты",1,NULL,NULL
22,"из",1,NULL,NULL
23,"мы",1,NULL,NULL
24,"за",1,NULL,NULL
25,"вы",1,NULL,NULL
26,"так",1,NULL,NULL
27,"же",1,NULL,NULL
28,"от",1,NULL,NULL
29,"сказать",1,NULL,NULL
30,"этот",1,NULL,NULL
31,"который",1,NULL,NULL
32,"мочь",1,NULL,NULL
33,"человек",1,NULL,NULL
34,"о",1,NULL,NULL
35,"один",1,NULL,NULL
36,"ещё",1,NULL,NULL
37,"бы",1,NULL,NULL
38,"такой",1,NULL,NULL
39,"только",1,NULL,NULL
40,"себя",1,NULL,NULL
41,"своё",1,NULL,NULL
42,"какой",1,NULL,NULL
43,"когда",1,NULL,NULL
44,"уже",1,NULL,NULL
45,"для",1,NULL,NULL
46,"вот",1,NULL,NULL
47,"кто",1,NULL,NULL
48,"да",1,NULL,NULL
49,"говорить",1,NULL,NULL
50,"год",1,NULL,NULL
51,"знать",1,NULL,NULL
52,"мой",1,NULL,NULL
53,"до",1,NULL,NULL
54,"или",1,NULL,NULL
55,"если",1,NULL,NULL
56,"время",1,NULL,NULL
57,"рука",1,NULL,NULL
58,"нет",1,NULL,NULL
59,"самый",1,NULL,NULL
60,"ни",1,NULL,NULL
61,"стать",1,NULL,NULL
62,"большой",1,NULL,NULL
63,"даже",1,NULL,NULL
64,"другой",1,NULL,NULL
65,"наш",1,NULL,NULL
66,"свой",1,NULL,NULL
67,"ну",1,NULL,NULL
68,"под",1,NULL,NULL
69,"где",1,NULL,NULL
70,"дело",1,NULL,NULL
71,"есть",1,NULL,NULL
72,"сам",1,NULL,NULL
73,"раз",1,NULL,NULL
74,"чтобы",1,NULL,NULL
75,"два",1,NULL,NULL
76,"там",1,NULL,NULL
77,"чем",1,NULL,NULL
78,"глаз",1,NULL,NULL
79,"жизнь",1,NULL,NULL
80,"первый",1,NULL,NULL
81,"день",1,NULL,NULL
82,"тут",1,NULL,NULL
83,"во",1,NULL,NULL
84,"ничто",1,NULL,NULL
85,"потом",1,NULL,NULL
86,"очень",1,NULL,NULL
87,"со",1,NULL,NULL
88,"хотеть",1,NULL,NULL
89,"ли",1,NULL,NULL
90,"при",1,NULL,NULL
91,"голова",1,NULL,NULL
92,"надо",1,NULL,NULL
93,"без",1,NULL,NULL
94,"видеть",1,NULL,NULL
95,"идти",1,NULL,NULL
96,"теперь",1,NULL,NULL
97,"тоже",1,NULL,NULL
98,"стоять",1,NULL,NULL
99,"друг",1,NULL,NULL
100,"дом",1,NULL,NULL
101,"сейчас",1,NULL,NULL
102,"можно",1,NULL,NULL
103,"после",1,NULL,NULL
104,"слово",1,NULL,NULL
105,"здесь",1,NULL,NULL
106,"думать",1,NULL,NULL
107,"место",1,NULL,NULL
108,"спросить",1,NULL,NULL
109,"через",1,NULL,NULL
110,"лицо",1,NULL,NULL
111,"что",1,NULL,NULL
112,"тогда",1,NULL,NULL
113,"ведь",1,NULL,NULL
114,"хороший",1,NULL,NULL
115,"каждый",1,NULL,NULL
116,"новый",1,NULL,NULL
117,"жить",1,NULL,NULL
118,"должный",1,NULL,NULL
119,"смотреть",1,NULL,NULL
120,"почему",1,NULL,NULL
121,"потому",1,NULL,NULL
122,"сторона",1,NULL,NULL
123,"просто",1,NULL,NULL
124,"нога",1,NULL,NULL
125,"сидеть",1,NULL,NULL
126,"понять",1,NULL,NULL
127,"иметь",1,NULL,NULL
128,"конечный",1,NULL,NULL
129,"делать",1,NULL,NULL
130,"вдруг",1,NULL,NULL
131,"над",1,NULL,NULL
132,"взять",1,NULL,NULL
133,"никто",1,NULL,NULL
134,"сделать",1,NULL,NULL
135,"дверь",1,NULL,NULL
136,"перед",1,NULL,NULL
137,"нужный",1,NULL,NULL
138,"понимать",1,NULL,NULL
139,"казаться",1,NULL,NULL
140,"работа",1,NULL,NULL
141,"три",1,NULL,NULL
142,"ваш",1,NULL,NULL
143,"уж",1,NULL,NULL
144,"земля",1,NULL,NULL
145,"конец",1,NULL,NULL
146,"несколько",1,NULL,NULL
147,"час",1,NULL,NULL
148,"голос",1,NULL,NULL
149,"город",1,NULL,NULL
150,"последний",1,NULL,NULL
151,"пока",1,NULL,NULL
152,"хорошо",1,NULL,NULL
153,"давать",1,NULL,NULL
154,"вода",1,NULL,NULL
155,"более",1,NULL,NULL
156,"хотя",1,NULL,NULL
157,"всегда",1,NULL,NULL
158,"второй",1,NULL,NULL
159,"куда",1,NULL,NULL
160,"пойти",1,NULL,NULL
161,"стол",1,NULL,NULL
162,"ребёнок",1,NULL,NULL
163,"увидеть",1,NULL,NULL
164,"сила",1,NULL,NULL
165,"отец",1,NULL,NULL
166,"женщина",1,NULL,NULL
167,"машина",1,NULL,NULL
168,"случай",1,NULL,NULL
169,"ночь",1,NULL,NULL
170,"сразу",1,NULL,NULL
171,"мир",1,NULL,NULL
172,"совсем",1,NULL,NULL
173,"остаться",1,NULL,NULL
174,"об",1,NULL,NULL
175,"вид",1,NULL,NULL
176,"выйти",1,NULL,NULL
177,"дать",1,NULL,NULL
178,"работать",1,NULL,NULL
179,"любить",1,NULL,NULL
180,"старый",1,NULL,NULL
181,"почти",1,NULL,NULL
182,"ряд",1,NULL,NULL
183,"оказаться",1,NULL,NULL
184,"начало",1,NULL,NULL
185,"твой",1,NULL,NULL
186,"вопрос",1,NULL,NULL
187,"много",1,NULL,NULL
188,"война",1,NULL,NULL
189,"снова",1,NULL,NULL
190,"ответить",1,NULL,NULL
191,"между",1,NULL,NULL
192,"подумать",1,NULL,NULL
193,"опять",1,NULL,NULL
194,"белый",1,NULL,NULL
195,"деньги",1,NULL,NULL
196,"значить",1,NULL,NULL
197,"про",1,NULL,NULL
198,"лишь",1,NULL,NULL
199,"минута",1,NULL,NULL
200,"жена",1,NULL,NULL
201,"посмотреть",1,NULL,NULL
202,"правда",1,NULL,NULL
203,"главный",1,NULL,NULL
204,"страна",1,NULL,NULL
205,"свет",1,NULL,NULL
206,"ждать",1,NULL,NULL
207,"мать",1,NULL,NULL
208,"будто",1,NULL,NULL
209,"никогда",1,NULL,NULL
210,"товарищ",1,NULL,NULL
211,"дорога",1,NULL,NULL
212,"однако",1,NULL,NULL
